 # Fri Sep 12 00:49:41 2014
 # MMHT 2014 NLO PDF grid for eigenvector   -17.000000000000000     
 # distance(t),tolerance(T) =    2.3999999999999999        2.1577529949198562     
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.48780
 # alphaS(MZ) = 0.12000
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  6.5443E+01  9.3012E-01  9.3028E-01  5.0010E-01  0.0000E+00  0.0000E+00  2.6291E-05  1.8802E-04 -8.1159E-04
  6.8470E+01  1.2984E+00  1.2986E+00  8.7217E-01  0.0000E+00  0.0000E+00  3.8052E-05  2.1954E-04 -8.2643E-04
  7.1138E+01  1.5824E+00  1.5826E+00  1.1589E+00  0.0000E+00  0.0000E+00  4.7564E-05  2.4446E-04 -8.3743E-04
  7.5487E+01  1.9826E+00  1.9828E+00  1.5628E+00  0.0000E+00  0.0000E+00  6.1310E-05  2.7976E-04 -8.5212E-04
  7.5487E+01  1.9826E+00  1.9828E+00  1.5628E+00  9.8628E-07  0.0000E+00  6.1310E-05  2.7976E-04 -8.5212E-04
  7.9311E+01  2.3394E+00  2.3396E+00  1.9225E+00  4.0327E-01  0.0000E+00  7.3776E-05  3.1095E-04 -8.6414E-04
  8.3713E+01  2.6990E+00  2.6992E+00  2.2848E+00  7.9020E-01  0.0000E+00  8.6319E-05  3.4185E-04 -8.7543E-04
  8.8273E+01  3.0254E+00  3.0257E+00  2.6135E+00  1.1392E+00  0.0000E+00  9.7540E-05  3.6915E-04 -8.8498E-04
  9.3406E+01  3.3556E+00  3.3559E+00  2.9458E+00  1.4902E+00  0.0000E+00  1.0865E-04  3.9590E-04 -8.9398E-04
  9.9773E+01  3.7274E+00  3.7277E+00  3.3198E+00  1.8834E+00  0.0000E+00  1.2079E-04  4.2486E-04 -9.0338E-04
  1.0615E+02  4.0706E+00  4.0709E+00  3.6648E+00  2.2445E+00  0.0000E+00  1.3165E-04  4.5052E-04 -9.1143E-04
  1.1314E+02  4.4224E+00  4.4227E+00  4.0183E+00  2.6130E+00  0.0000E+00  1.4239E-04  4.7572E-04 -9.1909E-04
